c*: 5533.104 m/s
CF: 1.820
F: 382663.991 N
Isp: 1026.546 seconds
------------------------------------
x(m)    T(K)    Tt(K)   P(Pa)   Pt(Pa)  M
3.886   2953.313   2953.332   3447048.048   3447144.317   0.000   
3.930   2978.208   2978.228   3447043.229   3447140.306   0.000   
3.974   3003.065   3003.086   3447038.385   3447136.269   0.000   
4.019   3027.885   3027.906   3447033.516   3447132.207   0.000   
4.063   3052.668   3052.689   3447028.624   3447128.120   0.000   
4.107   3077.414   3077.435   3447023.706   3447124.007   0.000   
4.151   3102.124   3102.145   3447018.765   3447119.869   0.000   
4.195   3126.798   3126.819   3447013.799   3447115.705   0.000   
4.239   3151.436   3151.458   3447008.808   3447111.516   0.000   
4.284   3176.040   3176.062   3447003.794   3447107.301   0.000   
4.328   3200.609   3200.632   3446998.754   3447103.061   0.000   
4.372   3225.143   3225.166   3446993.691   3447098.796   0.000   
4.416   3249.644   3249.667   3446988.603   3447094.505   0.000   
